,0
0,3110
1,7270
2,7157
3,6739
4,7261
5,6814
6,7055
7,7837
8,8479
9,8956
10,9046
11,8311
12,8387
13,9550
14,9006
15,10602
16,12415
17,14117
18,13856
19,13134
20,15389
21,13627
22,15081
23,14965
24,14508
25,15129
26,13031
27,13080
28,13680
29,14214
30,14590
31,15622
32,14478
33,14896
34,14302
35,15082
36,13336
37,14880
38,14019
39,13085
40,12982
41,11598
42,10686
43,9211
44,10392
45,9654
46,8514
47,5220
48,6775
49,6346
50,5215
51,3692
52,4260
53,6680
54,6846
55,6565
56,6268
57,6187
58,5547
59,5154
