date,year,week,year_week,month,year_month,day,weekday,weekday_name,hour,n_calls_in_week,share_calls,est_n_calls,best_n_servers
2021-03-29,2021,13,2021 W13,3,2021 M 3,29,0,Mon,3,9916.789254223993,3.257923269391159e-06,0.032308138468984546,0
2021-04-05,2021,14,2021 W14,4,2021 M 4,5,0,Mon,3,10373.039545103224,3.257923269391159e-06,0.03379456690830648,0
2021-04-12,2021,15,2021 W15,4,2021 M 4,12,0,Mon,3,10828.901859085996,3.257923269391159e-06,0.03527973134866945,0
2021-04-19,2021,16,2021 W16,4,2021 M 4,19,0,Mon,3,11280.696421834047,3.257923269391159e-06,0.03675164336763073,0
2021-04-26,2021,17,2021 W17,4,2021 M 4,26,0,Mon,3,11724.654089362664,3.257923269391159e-06,0.038198023383296836,0
2021-05-03,2021,18,2021 W18,5,2021 M 5,3,0,Mon,3,12156.94988021456,3.257923269391159e-06,0.039606409899573085,0
2021-05-10,2021,19,2021 W19,5,2021 M 5,10,0,Mon,3,12573.736507633728,3.257923269391159e-06,0.040964268751413055,0
2021-05-17,2021,20,2021 W20,5,2021 M 5,17,0,Mon,3,12971.17791173931,3.257923269391159e-06,0.04225910235006813,0
2021-05-24,2021,21,2021 W21,5,2021 M 5,24,0,Mon,3,13345.482791699462,3.257923269391159e-06,0.04347855892833696,0
2021-05-31,2021,22,2021 W22,5,2021 M 5,31,0,Mon,3,13692.938137905221,3.257923269391159e-06,0.04461054178581507,0
2021-06-07,2021,23,2021 W23,6,2021 M 6,7,0,Mon,3,14009.942764144365,3.257923269391159e-06,0.045643318534144224,0
2021-06-14,2021,24,2021 W24,6,2021 M 6,14,0,Mon,3,14293.040839775287,3.257923269391159e-06,0.04656563034226206,0
2021-06-21,2021,25,2021 W25,6,2021 M 6,21,0,Mon,3,14538.955421900844,3.257923269391159e-06,0.04736680118165152,0
2021-06-28,2021,26,2021 W26,6,2021 M 6,28,0,Mon,3,14744.621987542245,3.257923269391159e-06,0.0480368470715904,0
2021-07-05,2021,27,2021 W27,7,2021 M 7,5,0,Mon,3,14907.221965812892,3.257923269391159e-06,0.04856658532440084,0
2021-07-12,2021,28,2021 W28,7,2021 M 7,12,0,Mon,3,15024.21627009226,3.257923269391159e-06,0.04894774379069882,0
2021-07-19,2021,29,2021 W29,7,2021 M 7,19,0,Mon,3,15093.378830199763,3.257923269391159e-06,0.049173070104643724,0
2021-07-26,2021,30,2021 W30,7,2021 M 7,26,0,Mon,3,15112.830124568613,3.257923269391159e-06,0.049236440929187775,0
2021-08-02,2021,31,2021 W31,8,2021 M 8,2,0,Mon,3,15081.070712419678,3.257923269391159e-06,0.04913297120132557,0
2021-08-09,2021,32,2021 W32,8,2021 M 8,9,0,Mon,3,14997.014765935355,3.257923269391159e-06,0.048859123377343605,0
2021-08-16,2021,33,2021 W33,8,2021 M 8,16,0,Mon,3,14860.023602433455,3.257923269391159e-06,0.04841281667806979,0
2021-08-23,2021,34,2021 W34,8,2021 M 8,23,0,Mon,3,14669.939216541028,3.257923269391159e-06,0.04779353633412293,0
2021-08-30,2021,35,2021 W35,8,2021 M 8,30,0,Mon,3,14427.117812368251,3.257923269391159e-06,0.0470024428311622,0
2021-09-06,2021,36,2021 W36,9,2021 M 9,6,0,Mon,3,14132.463335682305,3.257923269391159e-06,0.04604248115513678,0
2021-09-13,2021,37,2021 W37,9,2021 M 9,13,0,Mon,3,13787.461006081203,3.257923269391159e-06,0.044918490037535196,0
2021-09-20,2021,38,2021 W38,9,2021 M 9,20,0,Mon,3,13394.2108491677,3.257923269391159e-06,0.04363731120063497,0
2021-09-27,2021,39,2021 W39,9,2021 M 9,27,0,Mon,3,12955.461228723118,3.257923269391159e-06,0.04220789860275202,0
2021-10-04,2021,40,2021 W40,10,2021 M10,4,0,Mon,3,12474.64237888123,3.257923269391159e-06,0.040641427683490244,0
2021-10-11,2021,41,2021 W41,10,2021 M10,11,0,Mon,3,11955.899936302148,3.257923269391159e-06,0.03895140460899105,0
2021-10-18,2021,42,2021 W42,10,2021 M10,18,0,Mon,3,11404.128472346118,3.257923269391159e-06,0.03715377551718267,0
2021-10-25,2021,43,2021 W43,10,2021 M10,25,0,Mon,3,10825.005025247476,3.257923269391159e-06,0.03526703576302998,0
2021-11-01,2021,44,2021 W44,11,2021 M11,1,0,Mon,3,10225.022632288443,3.257923269391159e-06,0.03331233916378376,0
2021-11-08,2021,45,2021 W45,11,2021 M11,8,0,Mon,3,9611.52386197302,3.257923269391159e-06,0.03131360724423028,0
2021-11-15,2021,46,2021 W46,11,2021 M11,15,0,Mon,3,8992.734346200836,3.257923269391159e-06,0.029297638481940794,0
2021-11-22,2021,47,2021 W47,11,2021 M11,22,0,Mon,3,8377.796312441054,3.257923269391159e-06,0.027294217552521156,0
2021-11-29,2021,48,2021 W48,11,2021 M11,29,0,Mon,3,7776.802115906185,3.257923269391159e-06,0.02533622457486116,0
2021-12-06,2021,49,2021 W49,12,2021 M12,6,0,Mon,3,7200.827771725955,3.257923269391159e-06,0.02345974435638408,0
2021-12-13,2021,50,2021 W50,12,2021 M12,13,0,Mon,3,6661.966487121259,3.257923269391159e-06,0.02170417563829643,0
2021-12-20,2021,51,2021 W51,12,2021 M12,20,0,Mon,3,6173.36219357787,3.257923269391159e-06,0.020112340340836993,0
2021-12-27,2021,52,2021 W52,12,2021 M12,27,0,Mon,3,5749.243079020458,3.257923269391159e-06,0.018730592808526826,0
2021-03-29,2021,13,2021 W13,3,2021 M 3,29,0,Mon,6,9916.789254223993,3.257923269391159e-05,0.3230813846898455,0
2021-04-05,2021,14,2021 W14,4,2021 M 4,5,0,Mon,6,10373.039545103224,3.257923269391159e-05,0.3379456690830648,0
2021-04-12,2021,15,2021 W15,4,2021 M 4,12,0,Mon,6,10828.901859085996,3.257923269391159e-05,0.3527973134866945,0
2021-04-19,2021,16,2021 W16,4,2021 M 4,19,0,Mon,6,11280.696421834047,3.257923269391159e-05,0.3675164336763073,0
