Call_Start,Exit_Reason,Party_Name,channel,QueuedTime,RingTime,TalkTime,HoldTime,WrapTime,WaitTime,Queue + Ring,WaitTime vs QueuedTime,AgentTime,agent_answer_time,call_end,agent_finish_time
2020-01-02 08:02:26.999998,Redirected,,SEO,0,10,0.0,0.0,0.0,10,10,10,0.0,2020-01-02 08:02:36.999998,2020-01-02 08:02:36.999998,2020-01-02 08:02:36.999998
2020-01-02 08:33:54.000000,Redirected,,SEO,0,13,0.0,0.0,0.0,13,13,13,0.0,2020-01-02 08:34:07.000000,2020-01-02 08:34:07.000000,2020-01-02 08:34:07.000000
2020-01-02 08:46:05.999998,Redirected,,SEO,1,13,0.0,0.0,0.0,14,14,13,0.0,2020-01-02 08:46:19.999998,2020-01-02 08:46:19.999998,2020-01-02 08:46:19.999998
2020-01-02 08:58:52.000003,Redirected,,SEO,0,12,0.0,0.0,0.0,12,12,12,0.0,2020-01-02 08:59:04.000003,2020-01-02 08:59:04.000003,2020-01-02 08:59:04.000003
2020-01-02 09:36:36.000003,Redirected,,SEO,0,16,0.0,0.0,0.0,16,16,16,0.0,2020-01-02 09:36:52.000003,2020-01-02 09:36:52.000003,2020-01-02 09:36:52.000003
2020-01-02 09:49:32.999998,Redirected,,SEO,1,15,0.0,0.0,0.0,16,16,15,0.0,2020-01-02 09:49:48.999998,2020-01-02 09:49:48.999998,2020-01-02 09:49:48.999998
2020-01-02 10:05:09.999997,Redirected,,SEO,1,12,0.0,0.0,0.0,13,13,12,0.0,2020-01-02 10:05:22.999997,2020-01-02 10:05:22.999997,2020-01-02 10:05:22.999997
2020-01-02 10:08:51.000000,Redirected,,SEO,0,14,0.0,0.0,0.0,14,14,14,0.0,2020-01-02 10:09:05.000000,2020-01-02 10:09:05.000000,2020-01-02 10:09:05.000000
2020-01-02 10:21:44.000003,Redirected,,SEO,0,12,0.0,0.0,0.0,12,12,12,0.0,2020-01-02 10:21:56.000003,2020-01-02 10:21:56.000003,2020-01-02 10:21:56.000003
2020-01-02 10:27:07.000001,Redirected,,SEO,0,14,0.0,0.0,0.0,14,14,14,0.0,2020-01-02 10:27:21.000001,2020-01-02 10:27:21.000001,2020-01-02 10:27:21.000001
2020-01-02 10:36:16.999998,Redirected,,SEO,1,16,0.0,0.0,0.0,17,17,16,0.0,2020-01-02 10:36:33.999998,2020-01-02 10:36:33.999998,2020-01-02 10:36:33.999998
2020-01-02 10:37:09.000002,Redirected,,SEO,0,11,0.0,0.0,0.0,11,11,11,0.0,2020-01-02 10:37:20.000002,2020-01-02 10:37:20.000002,2020-01-02 10:37:20.000002
2020-01-02 10:38:41.000000,Redirected,,PPC,0,8,0.0,0.0,0.0,8,8,8,0.0,2020-01-02 10:38:49.000000,2020-01-02 10:38:49.000000,2020-01-02 10:38:49.000000
2020-01-02 10:39:01.000002,Redirected,,SEO,0,11,0.0,0.0,0.0,11,11,11,0.0,2020-01-02 10:39:12.000002,2020-01-02 10:39:12.000002,2020-01-02 10:39:12.000002
2020-01-02 10:39:54.000000,Redirected,,SEO,1,9,0.0,0.0,0.0,10,10,9,0.0,2020-01-02 10:40:04.000000,2020-01-02 10:40:04.000000,2020-01-02 10:40:04.000000
2020-01-02 10:54:14.000000,Redirected,,SEO,0,11,0.0,0.0,0.0,11,11,11,0.0,2020-01-02 10:54:25.000000,2020-01-02 10:54:25.000000,2020-01-02 10:54:25.000000
2020-01-02 11:14:42.999997,Redirected,,SEO,0,14,0.0,0.0,0.0,14,14,14,0.0,2020-01-02 11:14:56.999997,2020-01-02 11:14:56.999997,2020-01-02 11:14:56.999997
2020-01-02 11:17:40.999998,Redirected,,SEO,1,9,0.0,0.0,0.0,10,10,9,0.0,2020-01-02 11:17:50.999998,2020-01-02 11:17:50.999998,2020-01-02 11:17:50.999998
